4.858056415630500 -7.083506399498200 5.482864180185500  = 2709.093505599999844  @               0 0.000000000000000
-0.800321034270620 -1.425128225888500 5.482863538255500  = 2709.093505599999844  @               0 0.000000000000000
5.482864024842900 -7.083506710354700 -7.708313571527500  = 2709.093505599999844  @               0 0.000000000000000
-7.708313524864200 -7.083506395582900 -0.800321235798070  = 2709.093505599999844  @               0 0.000000000000000
-0.800321236886290 -0.800321167986440 4.858056853428800  = 2709.093505599999844  @               0 0.000000000000000
-7.708313950993500 5.482863917697300 -7.083506404706200  = 2709.093505599999844  @               0 0.000000000000000
-1.425128867269000 5.482863637037100 -0.800321160909760  = 2709.093505599999844  @               0 0.000000000000000
-0.800321129526380 -1.425128364142400 -7.083506419462100  = 2709.093505599999844  @               0 0.000000000000000
-7.083506438736600 -0.800320919361820 -1.425128683957200  = 2709.093505599999844  @               0 0.000000000000000
-1.425128301624900 -0.800321140123620 -0.800320910781460  = 2709.093505599999844  @               0 0.000000000000000
-7.708313783810400 5.482863927948900 -0.800320962570510  = 2709.093505599999844  @               0 0.000000000000000
4.858056884607300 5.482864130203000 5.482864330364800  = 2709.093505599999844  @               0 0.000000000000000
5.482864110793500 5.482864679908400 -1.425128169313200  = 2709.093505599999844  @               0 0.000000000000000
-7.708313746568600 5.482864083475000 5.482864108118100  = 2709.093505599999844  @               0 0.000000000000000
-7.083506342592900 -1.425128662410100 -7.083506022666600  = 2709.093505599999844  @               0 0.000000000000000
-7.083506383257000 5.482864270707700 4.858056920697000  = 2709.093505599999844  @               0 0.000000000000000
-0.800321103927490 4.858056798536200 -7.083506317739700  = 2709.093505599999844  @               0 0.000000000000000
4.858056683855300 -0.800320849283710 -0.800321392721580  = 2709.093505599999844  @               0 0.000000000000000
4.858056814021500 -0.800321523835490 -7.083506175355400  = 2709.093505599999844  @               0 0.000000000000000
5.482864092343400 -1.425128678129000 -0.800321056185530  = 2709.093505599999844  @               0 0.000000000000000
-7.083506362733800 -7.708313839848000 -0.800320762951910  = 2709.093505599999844  @               0 0.000000000000000
4.858056847723800 -7.083506270262500 -0.800321449985060  = 2709.093505599999844  @               0 0.000000000000000
-0.800320837882260 -7.083506340271000 4.858057195015000  = 2709.093505599999844  @               0 0.000000000000000
-7.083506637888300 -0.800321197715240 4.858057046158500  = 2709.093505599999844  @               0 0.000000000000000
4.858057002349100 -7.083506272036000 -7.083506301039900  = 2709.093505599999844  @               0 0.000000000000000
-7.083506326165700 -7.083506529973300 -7.708313720247600  = 2709.093505599999844  @               0 0.000000000000000
-0.800321199614390 -7.083506201145700 -7.708313683815400  = 2709.093505599999844  @               0 0.000000000000000
-7.083506333696900 -1.425128429891500 -0.800321339166820  = 2709.093505599999844  @               0 0.000000000000000
-7.083506383936200 -1.425128613528400 5.482864349845900  = 2709.093505599999844  @               0 0.000000000000000
5.482864358444900 -7.083506469774100 4.858056964033700  = 2709.093505599999844  @               0 0.000000000000000
-1.425128354547400 -0.800321048205660 -7.083506439047800  = 2709.093505599999844  @               0 0.000000000000000
-7.083506462279000 4.858057022692700 -7.083506256000000  = 2709.093505599999844  @               0 0.000000000000000
-0.800321174278500 5.482864127891300 -1.425128494793000  = 2709.093505599999844  @               0 0.000000000000000
5.482864273748700 -0.800321057710550 4.858056918385200  = 2709.093505599999844  @               0 0.000000000000000
-7.708313689249000 -7.083506324604100 -7.083506367099300  = 2709.093505599999844  @               0 0.000000000000000
-0.800321385015630 -7.708313617874900 -0.800321095490480  = 2709.093505599999844  @               0 0.000000000000000
-7.083506536426400 -0.800321022132830 -7.708313679457300  = 2709.093505599999844  @               0 0.000000000000000
-7.083506242202300 4.858057031959800 5.482864568519300  = 2709.093505599999844  @               0 0.000000000000000
-7.083506395288700 4.858056896080800 -0.800321206821820  = 2709.093505599999844  @               0 0.000000000000000
-1.425128421332900 5.482864265855300 -7.083506411089600  = 2709.093505599999844  @               0 0.000000000000000
-0.800320998137950 4.858056879131900 -0.800321250925970  = 2709.093505599999844  @               0 0.000000000000000
-1.425128611228400 5.482864143443700 5.482863971437900  = 2709.093505599999844  @               0 0.000000000000000
-7.708313862586500 -0.800320995635710 5.482863824198100  = 2709.093505599999844  @               0 0.000000000000000
-7.708313843023200 -0.800321050404410 -7.083506346652600  = 2709.093505599999844  @               0 0.000000000000000
-7.083506328716700 5.482864185308300 -1.425128517968100  = 2709.093505599999844  @               0 0.000000000000000
5.482864366072600 4.858056890919000 -7.083506219260700  = 2709.093505599999844  @               0 0.000000000000000
5.482864267436100 -7.708313438629900 -0.800321215006900  = 2709.093505599999844  @               0 0.000000000000000
-0.800321735626570 -0.800321515592430 -7.708314009220500  = 2709.093505599999844  @               0 0.000000000000000
4.858056990925000 5.482864143076400 -7.083506501177700  = 2709.093505599999844  @               0 0.000000000000000
5.482864293791300 -1.425128432652200 -7.083506424531300  = 2709.093505599999844  @               0 0.000000000000000
5.482864183591800 4.858056846033400 5.482864096712600  = 2709.093505599999844  @               0 0.000000000000000
5.482864476628000 -7.708313829689100 5.482864172708600  = 2709.093505599999844  @               0 0.000000000000000
5.482864263824800 4.858056990490200 -0.800320270982740  = 2709.093505599999844  @               0 0.000000000000000
-0.800321174826180 4.858056913399300 5.482864176886500  = 2709.093505599999844  @               0 0.000000000000000
5.482864237211100 -1.425128408936400 5.482864269495100  = 2709.093505599999844  @               0 0.000000000000000
-7.083506479250700 -7.083506221178500 4.858057024163500  = 2709.093505599999844  @               0 0.000000000000000
-7.083506460246100 -7.708313647249600 -7.083506441387500  = 2709.093505599999844  @               0 0.000000000000000
-1.425128391745600 -7.083506240209800 -7.083506348412500  = 2709.093505599999844  @               0 0.000000000000000
-0.800321224551830 -7.708313546014700 -7.083506528046600  = 2709.093505599999844  @               0 0.000000000000000
-1.425128390169100 -0.800321019970750 5.482864488775300  = 2709.093505599999844  @               0 0.000000000000000
-0.800321190314260 -0.800320977197480 -1.425128385571200  = 2709.093505599999844  @               0 0.000000000000000
-0.800321057640320 -1.425128470116400 -0.800321165359570  = 2709.093505599999844  @               0 0.000000000000000
-7.083506463526800 -7.708313666951700 5.482864045223300  = 2709.093505599999844  @               0 0.000000000000000
5.482864373717500 -0.800320945032720 -7.708313564569600  = 2709.093505599999844  @               0 0.000000000000000
4.858056862755400 5.482864432975900 -0.800320995279720  = 2709.093505599999844  @               0 0.000000000000000
-7.708313693130000 -0.800321060997180 -0.800321013122960  = 2709.093505599999844  @               0 0.000000000000000
-0.800321043494120 5.482864362996800 4.858056905998700  = 2709.093505599999844  @               0 0.000000000000000
-7.708313682766100 -7.083506261543900 5.482864289601500  = 2709.093505599999844  @               0 0.000000000000000
5.482864098478200 -7.083506524631700 -1.425128461924500  = 2709.093505599999844  @               0 0.000000000000000
-1.425128416979600 -7.083506360902200 -0.800321193532530  = 2709.093505599999844  @               0 0.000000000000000
-0.800321009682700 5.482864212586400 -7.708313703010300  = 2709.093505599999844  @               0 0.000000000000000
5.482864146427400 5.482864054956700 4.858057013386100  = 2709.093505599999844  @               0 0.000000000000000
5.482864360946000 5.482864221552700 -7.708313797904700  = 2709.093505599999844  @               0 0.000000000000000
5.482864367296900 -7.708313826303000 -7.083506437330900  = 2709.093505599999844  @               0 0.000000000000000
-1.425128360565500 -7.083506413844300 5.482864258555300  = 2709.093505599999844  @               0 0.000000000000000
5.482864303643600 -0.800321091997350 -1.425128295111300  = 2709.093505599999844  @               0 0.000000000000000
-0.800321103855720 -7.083506461163900 -1.425128396098100  = 2709.093505599999844  @               0 0.000000000000000
-7.083506562379100 -7.083506495739300 -1.425128528875300  = 2709.093505599999844  @               0 0.000000000000000
-0.800321141139480 -7.708313791511000 5.482864051598600  = 2709.093505599999844  @               0 0.000000000000000
4.858056562998800 -0.800321358743690 5.482864198489500  = 2709.093505599999844  @               0 0.000000000000000
-7.083506185190600 5.482864299487700 -7.708313736421900  = 2709.093505599999844  @               0 0.000000000000000
